word,in_wordnet,synset_count
a,True,7
about,True,8
above,True,4
after,True,3
again,True,1
against,False,0
ain,True,1
all,True,3
am,True,16
an,True,1
and,False,0
any,True,2
are,True,14
aren,False,0
aren't,False,0
as,True,10
at,True,2
be,True,14
because,False,0
been,True,13
before,True,2
being,True,15
below,True,5
between,True,2
both,True,1
but,True,1
by,True,2
can,True,8
couldn,False,0
couldn't,False,0
d,True,4
did,True,13
didn,False,0
didn't,False,0
do,True,16
does,True,15
doesn,False,0
doesn't,False,0
doing,True,13
don,True,7
don't,False,0
down,True,26
during,False,0
each,True,2
few,True,2
for,False,0
from,False,0
further,True,11
had,True,19
hadn,False,0
hadn't,False,0
has,True,20
hasn,False,0
hasn't,False,0
have,True,20
haven,True,2
haven't,False,0
having,True,19
he,True,2
he'd,False,0
he'll,False,0
he's,False,0
her,False,0
here,True,7
hers,False,0
herself,False,0
him,False,0
himself,False,0
his,False,0
how,False,0
i,True,4
i'd,False,0
i'll,False,0
i'm,False,0
i've,False,0
if,False,0
in,True,7
into,False,0
is,True,13
isn,True,1
isn't,False,0
it,True,1
it'd,False,0
it'll,False,0
it's,False,0
its,True,1
itself,False,0
just,True,10
ll,False,0
m,True,7
ma,True,4
me,True,1
mightn,False,0
mightn't,False,0
more,True,5
most,True,5
mustn,False,0
mustn't,False,0
my,False,0
myself,False,0
needn,False,0
needn't,False,0
no,True,6
nor,False,0
not,True,1
now,True,8
o,True,3
of,False,0
off,True,9
on,True,5
once,True,3
only,True,9
or,True,2
other,True,4
our,False,0
ours,False,0
ourselves,False,0
out,True,17
over,True,7
own,True,2
re,True,3
s,True,6
same,True,6
shan,True,1
shan't,False,0
she,False,0
she'd,False,0
she'll,False,0
she's,False,0
should,False,0
should've,False,0
shouldn,False,0
shouldn't,False,0
so,True,11
some,True,5
such,True,2
t,True,6
than,False,0
that,False,0
that'll,False,0
the,False,0
their,False,0
theirs,False,0
them,False,0
themselves,False,0
then,True,5
there,True,4
these,False,0
they,False,0
they'd,False,0
they'll,False,0
they're,False,0
they've,False,0
this,False,0
those,False,0
through,True,7
to,False,0
too,True,2
under,True,10
until,False,0
up,True,14
ve,False,0
very,True,4
was,True,14
wasn,False,0
wasn't,False,0
we,False,0
we'd,False,0
we'll,False,0
we're,False,0
we've,False,0
were,True,13
weren,False,0
weren't,False,0
what,False,0
when,False,0
where,False,0
which,False,0
while,True,1
who,True,1
whom,False,0
why,True,1
will,True,6
with,False,0
won,True,7
won't,False,0
wouldn,False,0
wouldn't,False,0
y,True,2
you,False,0
you'd,False,0
you'll,False,0
you're,False,0
you've,False,0
your,False,0
yours,False,0
yourself,False,0
yourselves,False,0
