w1,w2,co_count,deg_w1,deg_w2,freq_w1,freq_w2,pmi
o,o,4,84,84,26,26,6.099137911276722
s,t,2,84,364,22,77,3.939721185752988
didn,no,2,6,7902,2,2139,3.5010683846838395
t,t,4,364,364,77,77,3.166546638775097
i,shan,2,18948,4,5164,3,3.0319558773967636
more,than,1260,8558,6302,2215,1790,2.9101873476464024
above,below,12,1072,482,296,145,2.9042445421255323
am,i,468,1088,18948,237,5164,2.881482654001286
do,re,2,6412,14,1363,3,2.862721327894169
those,who,452,3376,7574,850,2252,2.6313231710620646
didn,his,2,6,21406,2,6996,2.504521237836795
been,has,1342,10954,8174,2472,2437,2.4663071595743062
than,theirs,8,6302,94,1790,21,2.36208797056839
again,once,74,2446,2242,577,499,2.361296549145338
ours,than,10,120,6302,27,1790,2.3410347676162337
ourselves,we,38,302,9664,66,2652,2.325560509062638
herself,she,74,554,10440,125,2860,2.3080649266789512
against,don,2,2030,80,627,23,2.2698905415823427
ma,while,2,68,2456,19,680,2.2419113587800683
does,not,458,1968,19830,485,4610,2.2217093487008692
any,yourselves,2,4762,38,1344,8,2.1616994514973755
we,yourselves,4,9664,38,2652,8,2.1471082737061953
both,m,2,2628,70,730,16,2.145235072350549
each,other,220,3084,6800,877,1702,2.1095313724493248
does,nor,14,1968,682,485,195,2.103818667958543
why,yours,2,1812,106,404,25,2.1020832550827953
own,their,298,3648,8146,772,2669,2.064441306779313
did,not,894,4532,19830,1044,4610,2.0564004033412506
don,who,6,80,7574,23,2252,2.051819815597337
into,yourselves,2,5452,38,1791,8,2.026385117680031
be,should,802,23252,3618,6377,888,2.0138499845511286
didn,it,2,6,36016,2,8760,1.9842311609018672
hers,then,4,82,5290,16,1380,1.9805648395033395
being,don,2,2720,80,712,23,1.9772954190666396
you,yourself,34,12790,298,3286,67,1.947412482431932
been,have,1426,10954,14646,2472,3942,1.9438105705337305
should,why,58,3618,1812,888,404,1.9391442551522171
theirs,while,2,94,2456,21,680,1.9181253045639148
ma,where,2,68,3414,19,937,1.9125617824128187
its,own,170,5436,3648,1858,772,1.9076297618860076
are,y,2,14886,16,4394,5,1.8869442830705383
down,ma,2,3534,68,895,19,1.8780161232229748
both,theirs,2,2628,94,730,21,1.8504363893169697
been,had,1754,10954,19956,2472,5133,1.8414735540529912
hers,how,2,82,3092,16,834,1.8244169584330128
because,ma,2,3780,68,883,19,1.810722654745737
our,own,110,3892,3648,1252,772,1.8064320127594464
be,can,1182,23252,6692,6377,1772,1.7867131815565305
because,m,2,3780,70,883,16,1.781735186523523
d,where,4,158,3414,50,937,1.7626229540571647
don,those,2,80,3376,23,850,1.7612362741570573
be,will,1388,23252,8066,6377,2245,1.7606242119080886
a,shan,2,67778,4,23195,3,1.7574224746351843
some,theirs,4,5784,94,1618,21,1.7547123533516285
his,own,574,21406,3648,6996,772,1.7538329808638138
ours,such,4,120,4552,27,1303,1.7500441861624851
i,myself,86,18948,622,5164,129,1.7465179740277752
my,own,118,4438,3648,1318,772,1.74535561611342
have,yourselves,4,14646,38,3942,8,1.7313492263446482
having,herself,4,1040,554,279,125,1.6967172845833118
few,very,52,2534,2966,601,796,1.6932842457634767
our,ourselves,8,3892,302,1252,66,1.6769001316005243
before,don,2,3676,80,1016,23,1.6761028330220902
ours,while,2,120,2456,27,680,1.6739289236830583
ma,out,4,68,8762,19,2097,1.6631708252796507
those,whom,14,3376,618,850,146,1.6626862543757204
because,don,2,3780,80,883,23,1.648204085665964
does,what,102,1968,7954,485,1908,1.6333339559765485
did,nor,20,4532,682,1044,195,1.6263483108579102
its,ours,4,5436,120,1858,27,1.572567570565452
did,why,50,4532,1812,1044,404,1.5654823150089276
they,were,944,13548,11462,3620,3284,1.563903931774169
no,there,600,7902,12496,2139,2728,1.5634590850431602
own,your,62,3648,2808,772,923,1.559536698910731
ours,your,2,120,2808,27,923,1.5399907104995019
should,theirs,2,3618,94,888,21,1.530738787081642
as,such,662,25234,4552,7253,1303,1.5105604832761779
her,ma,4,10208,68,3036,19,1.5104234349047208
same,yours,2,3338,106,686,25,1.4911441074728229
with,y,2,22150,16,7289,5,1.4895288109108633
both,won,4,2628,278,730,68,1.4592586967490195
ma,now,2,68,5394,19,1314,1.4551601586249157
just,yourself,6,3706,298,872,67,1.4515216254447834
do,you,440,6412,12790,1363,3286,1.4389937906878165
my,s,2,4438,84,1318,22,1.4389344922655745
my,o,2,4438,84,1318,26,1.4389344922655745
t,under,4,364,2096,77,707,1.4159183128225163
doing,so,36,858,8016,163,1985,1.4142844254972793
s,such,2,84,4552,22,1303,1.4135716614427838
t,then,10,364,5290,77,1380,1.406421936171195
are,these,386,14886,4996,4394,1573,1.4058325168536636
can,you,430,6692,12790,1772,3286,1.3732627244424886
if,t,16,8814,364,2198,77,1.365902543636421
as,y,2,25234,16,7253,5,1.3591742288823032
can,we,314,6692,9664,1772,2652,1.339126474402488
any,other,156,4762,6800,1344,1702,1.3313195528260122
between,t,4,2308,364,730,77,1.3195678049928175
can,how,98,6692,3092,1772,834,1.3142904628500856
as,s,10,25234,84,7253,22,1.3103849886997512
have,we,664,14646,9664,3942,2652,1.3047611643235677
hers,she,4,82,10440,16,2860,1.3007392052691313
any,than,140,4762,6302,1344,1790,1.2991615361013014
above,all,60,1072,12068,296,3001,1.2933150634927313
ours,should,2,120,3618,27,888,1.2865422200398273
out,yourself,12,8762,298,2097,67,1.2841980016857837
if,you,518,8814,12790,2198,3286,1.2840241761459108
do,ma,2,6412,68,1363,19,1.2822764159269522
been,having,52,10954,1040,2472,279,1.2773721998243215
and,y,6,82488,16,28853,5,1.2733267806368025
about,ma,2,6470,68,1815,19,1.2732715548595148
d,your,2,158,2808,50,923,1.2648878610776908
a,few,770,67778,2534,23195,601,1.2594076917175787
other,than,190,6800,6302,1702,1790,1.2482883262258677
had,ma,6,19956,68,5133,19,1.2455307887455507
about,m,2,6470,70,1815,16,1.2442840580946366
has,won,10,8174,278,2437,68,1.240814599797867
at,once,170,17364,2242,5372,499,1.2330849235795773
all,yourselves,2,12068,38,3001,8,1.2318119445360347
have,theirs,6,14646,94,3942,21,1.2311063075294444
again,again,26,2446,2446,577,577,1.2282423103467648
why,you,100,1812,12790,404,3286,1.221129263844419
nor,nor,2,682,682,195,195,1.2176514077912404
our,ours,2,3892,120,1252,27,1.2135405428376194
which,yourselves,2,12312,38,3561,8,1.2117948959868898
more,once,82,8558,2242,2215,499,1.2115383018729695
here,yourself,4,3218,298,750,67,1.1872495773134972
s,some,2,84,5784,22,1618,1.1740432174568558
should,we,142,3618,9664,888,2652,1.1605519371644677
from,yourselves,2,12970,38,4370,8,1.159730361166619
her,she,432,10208,10440,3036,2860,1.1586631950695327
d,than,4,158,6302,50,1790,1.1496410597987197
am,here,14,1088,3218,237,750,1.145009932203
don,than,2,80,6302,23,1790,1.13706186929923
whom,with,54,618,22150,146,7289,1.1314672608909513
are,they,788,14886,13548,4394,3620,1.1218918987580078
few,only,72,2534,7276,601,1748,1.1213396737368582
is,re,2,36712,14,10109,3,1.1177945639775964
don,from,4,80,12970,23,4370,1.1084375281965178
are,there,716,14886,12496,4394,2728,1.1069043175614428
after,until,24,3640,1724,1069,461,1.1004768306425954
who,won,8,7574,278,2252,68,1.0939081022622832
at,same,220,17364,3338,5372,686,1.092910536450371
about,hers,2,6470,82,1815,16,1.086060252443383
d,other,4,158,6800,50,1702,1.0735855363774365
do,o,2,6412,84,1363,26,1.0709675920676116
ma,what,2,68,7954,19,1908,1.0667729784964524
doing,my,14,858,4438,163,1318,1.0610584983952749
from,s,4,12970,84,4370,22,1.0596473923714935
doing,were,36,858,11462,163,3284,1.0566867807079405
do,not,464,6412,19830,1363,4610,1.053571291642066
against,themselves,8,2030,1086,627,270,1.0479582650581407
doing,here,10,858,3218,163,750,1.0460299986764683
after,all,158,3640,12068,1069,3001,1.0391079408540884
but,ma,4,16396,68,4381,19,1.0365580946640662
any,further,14,4762,822,1344,218,1.033458283688241
there,were,512,12496,11462,2728,3284,1.0329327328939655
you,your,128,12790,2808,3286,923,1.029948070966627
each,t,4,3084,364,877,77,1.029721882918441
ma,when,2,68,8284,19,2331,1.0261220272365
has,m,2,8174,70,2437,16,1.010502065747123
are,we,502,14886,9664,4394,2652,1.0088252216923195
do,we,216,6412,9664,1363,2652,1.007753445274176
ours,we,4,120,9664,27,2652,0.9972038398846289
doing,nor,2,858,682,163,195,0.988077238525355
about,how,68,6470,3092,1815,834,0.9825673664811163
further,no,22,822,7902,218,2139,0.9789953057914154
a,m,16,67778,70,23195,16,0.9746649394587451
haven,was,6,48,37186,11,9815,0.9714350957676104
i,my,282,18948,4438,5164,1318,0.9690587766669321
if,ma,2,8814,68,2198,19,0.9641066702780957
as,ours,10,25234,120,7253,27,0.9537101321733406
does,how,20,1968,3092,485,834,0.9489502018546374
had,she,680,19956,10440,5133,2860,0.9419722837666097
i,why,112,18948,1812,5164,404,0.9414231874995783
again,over,34,2446,4304,577,1236,0.9314155487981751
can,do,138,6692,6412,1772,1363,0.9272235784450688
do,what,164,6412,7954,1363,1908,0.9270741588320166
from,haven,2,12970,48,4370,11,0.9261157710518838
once,won,2,2242,278,499,68,0.9249663430871626
under,yourself,2,2096,298,707,67,0.9228315305767295
themselves,who,26,1086,7574,270,2252,0.9099278620284323
ours,then,2,120,5290,27,1380,0.9066458107643223
having,through,10,1040,3070,279,971,0.9007406232490368
other,theirs,2,6800,94,1702,21,0.8997384116617454
themselves,they,46,1086,13548,270,3620,0.8989551349876855
i,ma,4,18948,68,5164,19,0.8918971868529515
having,myself,2,1040,622,279,129,0.8877950116927702
by,o,4,15406,84,5306,26,0.8875294364055524
how,you,122,3092,12790,834,3286,0.8855932091001399
is,yours,12,36712,106,10109,25,0.8851729842048301
not,only,444,19830,7276,4610,1748,0.8831012765925551
i,whom,36,18948,618,5164,146,0.8821412638646079
about,ourselves,6,6470,302,1815,66,0.8809653570753937
don,has,2,80,8174,23,2437,0.8769708080480252
again,here,24,2446,3218,577,750,0.8738936186516987
does,it,216,1968,36016,485,8760,0.8733512396729756
herself,off,4,554,2370,125,639,0.8730486441465052
don,when,2,80,8284,23,2331,0.863603262198128
no,s,2,7902,84,2139,22,0.862023151044237
am,what,26,1088,7954,237,1908,0.859134321519196
than,yours,2,6302,106,1790,25,0.8556497103410124
did,he,474,4532,34986,1044,9548,0.8541499146824701
i,yours,6,18948,106,5164,25,0.8534310123740025
has,hers,2,8174,82,2437,16,0.8522782184937037
are,doing,38,14886,858,4394,163,0.8493700574663351
