w1,w2,co_count,deg_w1,deg_w2,freq_w1,freq_w2,pmi
y,yours,2,34,714,14,153,5.142447994475875
doesn,t,110,242,11876,53,2256,4.375987372137307
don,t,1672,4070,11876,855,2256,4.274823642644723
doesn,doesn,2,242,242,53,53,4.261920117210088
aren,t,28,70,11876,14,2256,4.248150365613731
hadn,t,54,136,11876,27,2256,4.240772742334494
didn,t,362,912,11876,180,2256,4.240450044460248
shan,t,40,102,11876,20,2256,4.228349344982439
t,wouldn,118,11876,308,2256,58,4.2050298945446025
couldn,t,178,468,11876,89,2256,4.1977607049276475
mustn,t,12,32,11876,6,2256,4.183605777698255
isn,t,126,344,11876,63,2256,4.1600854250061845
ain,t,60,170,11876,36,2256,4.122990237322726
hasn,t,24,68,11876,12,2256,4.122987082314789
t,wasn,116,11876,336,2256,58,4.100924182836637
shouldn,t,38,114,11876,18,2256,4.06583079330009
t,won,448,11876,1412,2256,264,4.016476777089837
am,ma,438,14552,1136,2987,237,4.008187385911563
theirs,theirs,2,276,276,59,59,3.9990108774318545
t,weren,12,11876,40,2256,6,3.9604644979573376
needn,t,10,34,11876,5,2256,3.940660301823682
haven,t,76,260,11876,47,2256,3.934496554198221
ours,ours,2,316,316,65,65,3.7283416182816445
hers,isn,2,294,344,63,63,3.715605167800594
further,further,12,784,784,181,181,3.702802811164095
m,ma,36,2440,1136,532,237,3.295216572747198
shouldn,why,8,114,5406,18,1272,3.2946926736429303
each,other,500,3406,11368,810,2451,3.2894775114777945
below,ours,2,530,316,137,65,3.211224278323675
yours,yours,6,714,714,153,153,3.196706475319253
o,re,58,6096,882,2220,201,3.109583141572082
o,y,2,6096,34,2220,14,2.9980998233710756
more,than,1810,17920,11564,4062,2908,2.8984783662921
wasn,yours,2,336,714,58,153,2.851857156410688
doing,re,10,1398,882,265,201,2.8243128727127313
m,shan,2,2440,102,532,20,2.8151257960289207
if,weren,6,23076,40,5245,6,2.603048341109137
ourselves,we,76,600,20076,138,5134,2.57324405467301
been,has,680,16478,6598,3410,1653,2.564510524238966
between,ourselves,10,2882,600,767,138,2.4861344241784273
haven,why,8,260,5406,47,1272,2.470213423966166
yourself,yourself,10,1338,1338,291,291,2.45144145969264
been,hasn,6,16478,68,3410,12,2.4091878726360596
during,further,2,478,784,119,181,2.4058379999509607
aren,why,2,70,5406,14,1272,2.3960978955490893
nor,nor,186,6074,6074,1801,1801,2.348922328054345
can,t,614,10524,11876,2327,2256,2.3230274703300218
m,m,28,2440,2440,532,532,2.2794182741734423
doesn,why,6,242,5406,53,1272,2.2542751145229807
mustn,you,10,32,68806,6,16398,2.24452225951152
being,its,130,6870,4224,1652,1291,2.2307981584690344
been,had,3154,16478,43836,3410,10317,2.2051557001260957
more,once,328,17920,4402,4062,931,2.156247662763427
are,y,4,29080,34,6854,14,2.1288451100017793
be,needn,8,60720,34,16115,5,2.085771825283136
should,why,252,12118,5406,2550,1272,2.0784381249041712
at,once,568,33570,4402,9174,931,2.077640092488052
aren,you,18,70,68806,14,16398,2.049550557043068
those,who,374,6466,15726,1668,4262,2.033593181062638
aren,here,2,70,7778,14,1782,2.032311586152355
i,m,990,118642,2440,30265,532,1.9608068290177518
don,why,74,4070,5406,855,1272,1.9441229712073471
am,i,5696,14552,118642,2987,30265,1.924890947746797
aren,our,2,70,8686,14,2714,1.9218991165129855
more,y,2,17920,34,4062,14,1.9198289751929747
above,below,4,2322,530,551,137,1.9099512557155724
again,hasn,2,9052,68,2122,12,1.9096135464105402
been,have,2182,16478,42174,3410,10116,1.8753775792333947
be,mustn,6,60720,32,16115,6,1.8587143305400058
below,just,10,530,6342,137,1332,1.821478606328309
o,o,110,6096,6096,2220,2220,1.8164251251722785
needn,we,2,34,20076,5,5134,1.8062220717516204
a,few,966,109480,3028,33960,664,1.800730097009564
more,no,1216,17920,23356,4062,5846,1.797761229368187
nor,yours,12,6074,714,1801,153,1.7489712710678316
after,hasn,2,10684,68,2723,12,1.7438530500867728
hadn,why,2,136,5406,27,1272,1.7319437872566543
been,ve,64,16478,1442,3410,315,1.7220362308237604
been,hadn,6,16478,136,3410,27,1.7160426181666761
below,where,10,530,7092,137,1853,1.7097055300360977
are,these,810,29080,10478,6854,2850,1.708916255828625
