w1,w2,co_count,deg_w1,deg_w2,freq_w1,freq_w2,pmi
by,himself,6,86,10,25,4,4.947373006748843
herself,over,2,4,126,1,40,4.383116511443417
their,until,2,44,12,19,5,4.336596532543084
each,other,4,16,74,4,19,4.22218660373151
down,under,4,80,16,26,5,4.144225088062875
ma,she,2,4,162,2,53,4.131802262753706
than,yours,2,42,16,12,4,4.0954346410317335
after,most,2,30,28,8,6,3.8722912109416012
ll,then,2,8,120,2,41,3.738759878929123
o,o,10,72,72,54,54,3.6617991754334076
same,until,2,88,12,23,5,3.6434497376961015
more,than,10,126,42,35,12,3.641179889834166
against,them,2,12,98,5,28,3.53581911286221
any,won,4,242,10,129,3,3.5073177757279383
same,yours,2,88,16,23,4,3.3557677616725843
any,t,2,242,6,129,3,3.324996111772037
d,she,2,10,162,3,53,3.2155119080211665
from,further,2,276,6,96,1,3.193533006768213
own,their,4,76,44,18,19,3.1839176671811162
being,by,4,40,86,12,25,3.15561389441745
being,very,2,40,48,12,20,3.0456129105113625
been,has,30,222,130,58,42,3.043531932918087
all,themselves,2,484,4,168,1,3.0373141094499085
at,our,8,282,28,100,9,3.0178763085290017
both,does,2,16,136,5,38,2.9204497925152637
few,more,6,54,126,12,35,2.8790398562366706
between,her,2,12,198,4,72,2.832519735764816
only,y,2,134,18,36,5,2.817481860958903
down,myself,2,80,32,26,10,2.7579308910951346
no,through,2,432,6,181,4,2.7455083730608574
no,re,2,432,6,181,1,2.7455083730608574
so,t,2,452,6,143,3,2.7002517884259394
has,this,24,130,258,42,98,2.670106180692036
were,y,2,160,18,39,5,2.64014787311727
can,our,8,412,28,107,9,2.638760046394327
d,they,2,10,292,3,84,2.626354552922306
between,where,2,12,248,4,66,2.607358054856477
off,yourself,2,150,20,47,4,2.5993258842541405
this,until,2,258,12,98,5,2.5678272214047237
because,their,2,72,44,15,19,2.5448377061700493
into,same,2,38,88,11,23,2.490770491666671
own,your,18,76,410,18,142,2.4560276429855104
before,over,2,28,126,13,40,2.4372070550971783
not,t,2,590,6,179,3,2.4338114664874015
not,re,2,590,6,179,1,2.4338114664874015
before,has,2,28,130,13,42,2.4059545151454294
about,myself,4,232,32,72,10,2.386367433859454
after,more,2,30,126,8,35,2.3682141913069974
m,s,6,172,66,86,35,2.3671566148960217
during,the,2,2,1900,1,660,2.3629371347732837
itself,to,2,2,1920,1,665,2.3524658360225263
been,y,2,222,18,58,5,2.312644345976769
both,we,2,16,256,5,67,2.2879273215144
each,we,2,16,256,4,67,2.2879273215144
now,which,2,296,14,88,6,2.2762767054462585
am,until,2,360,12,99,5,2.2346828121518225
s,s,2,66,66,35,35,2.2263840101163455
from,under,2,276,16,96,5,2.2127039074827306
being,then,2,40,120,12,41,2.12932230592254
all,d,2,484,10,168,3,2.121023503809141
about,these,4,232,42,72,14,2.1144337314387585
him,such,2,148,34,41,9,2.082120708350567
more,once,2,126,40,35,10,2.0805321457939123
been,doing,6,222,70,58,23,2.053133219483932
against,no,2,12,432,5,181,2.0523612710721073
did,under,2,324,16,93,5,2.0523612710721073
most,of,6,28,570,6,207,2.0264649730915236
because,other,2,72,74,15,19,2.0249622990075387
being,only,2,40,134,12,36,2.01897425761932
after,why,2,30,180,8,65,2.0115392796947003
does,she,8,136,162,38,53,1.9917367017712817
those,will,2,38,146,12,42,1.9845007328244915
are,ll,2,696,8,181,2,1.9809023125086656
himself,on,2,10,558,4,189,1.9787494593048818
at,yourself,2,282,20,100,4,1.9680541709646784
by,s,2,86,66,25,35,1.961691477634896
d,for,2,10,582,3,189,1.9366379769648654
