w1,w2,co_count,deg_w1,deg_w2,freq_w1,freq_w2,pmi
why,yourself,2,242,14,60,3,5.825011263798908
ourselves,wasn,2,74,54,17,10,5.659971962277798
t,weren,8,2480,12,604,4,5.038466074908716
ma,won,2,14,568,6,140,4.971883334375383
i,myself,2,2506,4,736,1,4.740333142862452
doesn,t,90,184,2480,45,604,4.728815370538054
d,o,34,408,460,211,690,4.64382113560004
shouldn,t,6,14,2480,3,604,4.596634926750528
didn,t,44,104,2480,22,604,4.583739644328534
don,t,354,874,2480,191,604,4.54015856007443
o,o,34,460,460,690,690,4.523862018800759
am,i,132,330,2506,99,736,4.5172217509594335
isn,t,14,36,2480,8,604,4.499476917794607
t,wasn,20,2480,54,604,10,4.450687970394966
hasn,t,20,54,2480,10,604,4.450687970394966
haven,t,42,114,2480,22,604,4.44541219202099
t,wouldn,34,2480,96,604,17,4.405953140173687
do,yourself,4,2038,14,464,3,4.387457435537296
aren,t,16,48,2480,8,604,4.345327154642794
couldn,t,6,20,2480,3,604,4.239962827204072
she,she,14,372,372,163,163,4.061223295222509
don,i,188,874,2506,191,736,3.896874316480454
during,ma,2,1804,14,674,6,3.8162714150190484
you,your,6,744,102,189,28,3.8146973908678077
aren,just,4,48,1162,8,302,3.717145666199854
t,won,94,2480,568,604,140,3.645115308807683
hasn,won,2,54,568,10,140,3.621987281510156
ll,you,8,168,744,39,189,3.6033899774585727
herself,not,2,2,16546,1,4389,3.5460466913545816
ma,t,2,14,2480,6,604,3.4980228293337143
wouldn,you,4,96,744,17,189,3.469856681272112
we,weren,4,6132,12,1599,4,3.440063153086442
again,once,12,724,312,213,90,3.4170666720855465
m,o,28,1194,460,435,690,3.3758691598789365
couldn,do,2,20,2038,3,464,3.337638915753102
re,you,34,942,744,238,189,3.3262697743844547
isn,just,2,36,1162,8,302,3.3116787341882565
ve,we,92,320,6132,75,1599,3.292147191745969
me,ve,2,134,320,35,75,3.286935006641062
shouldn,we,4,14,6132,3,1599,3.285913112358299
aren,too,2,48,902,8,254,3.2772803451782893
my,you,6,186,744,56,189,3.213925489478539
ll,we,42,168,6132,39,1599,3.15238510500853
me,you,4,134,744,35,189,3.136366379815451
couldn,i,2,20,2506,3,736,3.130921502349032
isn,our,2,36,1460,8,503,3.0833865631108295
more,than,1292,6462,5386,1881,1784,3.058650267582381
d,m,18,408,1194,211,435,3.0539956576736422
couldn,out,2,20,2786,3,795,3.025003143572693
i,t,208,2506,2480,736,604,2.9550370668862347
i,wouldn,8,2506,96,736,17,2.9486049301301556
i,m,92,2506,1194,736,435,2.8702370558685057
until,wasn,2,1214,54,423,10,2.862438439711899
isn,so,2,36,1898,8,551,2.8210237439885644
does,not,646,1334,16546,363,4389,2.820918615540928
doing,so,20,362,1898,66,551,2.8154876441336922
re,we,166,942,6132,238,1599,2.8026622322650097
did,not,1162,2468,16546,651,4389,2.792790897078912
no,yourself,2,5170,14,1495,3,2.7634136342096203
where,wouldn,2,786,96,263,17,2.7217941328361857
didn,you,2,104,744,22,189,2.69666729101446
can,you,42,2190,744,612,189,2.6939275842720853
doing,re,8,362,942,66,238,2.599747173641609
too,wouldn,2,902,96,254,17,2.584136966260243
myself,that,2,4,21814,1,7540,2.576498101111883
do,so,88,2038,1898,464,551,2.5690125549515344
into,your,6,2606,102,1020,28,2.5611697674501577
i,ve,18,2506,320,736,75,2.555563260024986
m,m,32,1194,1194,435,435,2.55556311392459
aren,there,6,48,5608,8,1283,2.5485639143105763
as,such,606,13384,2104,4575,684,2.5134251708118507
aren,because,4,48,4020,8,1076,2.476010618028855
those,who,46,1430,1554,398,608,2.4745800186533313
couldn,if,2,20,4858,3,1555,2.468985708176408
aren,we,6,48,6132,8,1599,2.4592372075367988
himself,into,2,38,2606,11,1020,2.449942237793185
both,whom,4,1884,106,662,22,2.441657318913607
haven,we,14,114,6132,22,1599,2.441538223304653
isn,there,4,36,5608,8,1283,2.430780518823695
own,their,96,1304,3722,323,1370,2.429095961939597
d,you,6,408,744,211,189,2.428406283155175
d,i,20,408,2506,211,736,2.417977682425561
doing,what,12,362,1696,66,430,2.4171901452455757
so,wasn,2,1898,54,551,10,2.4155602418219897
didn,we,12,104,6132,22,1599,2.379195054280455
won,won,6,568,568,140,140,2.3674717190588983
did,nor,8,2468,176,651,61,2.357749487477986
am,am,2,330,330,99,99,2.354915147632017
don,we,98,874,6132,191,1599,2.3505668194641474
before,just,46,2192,1162,766,302,2.3381297062500748
ll,they,22,168,7446,39,2595,2.311601994452754
been,hasn,8,8574,54,2070,10,2.293923220679737
if,you,62,4858,744,1555,189,2.2866671708345554
all,wasn,4,4328,54,1294,10,2.284404240934857
ve,you,4,320,744,75,189,2.2658871032407886
should,why,10,2518,242,853,60,2.242382681386692
couldn,we,2,20,6132,3,1599,2.2360922816775264
if,your,8,4858,102,1555,28,2.2260420382179125
me,re,2,134,942,35,238,2.2072557969942537
how,me,2,958,134,268,35,2.190413337155868
don,you,10,874,744,191,189,2.177419245638707
they,ve,36,7446,320,2595,75,2.1597215780186807
am,then,4,330,804,99,251,2.157557352187864
been,had,1126,8574,8748,2070,2975,2.15331278787582
no,there,434,5170,5608,1495,1283,2.150423139861563
theirs,which,2,14,9574,4,3666,2.147237323873132
been,has,1698,8574,13348,2070,4864,2.1415508893137387
ours,we,2,22,6132,5,1599,2.1407823458932524
been,have,1164,8574,9602,2070,3107,2.0933573005470563
haven,they,12,114,7446,22,2595,2.093231618969823
ll,what,4,168,1696,39,430,2.086257565456763
him,won,2,252,568,72,140,2.081550673350895
after,her,2,4786,30,2022,10,2.078453536564977
because,isn,2,4020,36,1076,8,2.0705450846869007
just,over,64,1162,3986,302,1463,2.0703975950765803
but,shouldn,2,10492,14,3601,3,2.05567556772742
we,wouldn,8,6132,96,1599,17,2.0537726347357994
can,we,182,2190,6132,612,1599,2.051029614923696
do,ourselves,2,2038,74,464,17,2.0293119896545138
can,t,68,2190,2480,612,604,1.9717930030426556
t,we,188,2480,6132,604,1599,1.9591078770942543
ours,they,2,22,7446,5,2595,1.946626762076059
do,i,62,2038,2506,464,736,1.9409229926142328
his,own,28,1772,1304,673,323,1.93910452655931
off,once,6,1600,312,544,90,1.9309528213843166
d,d,2,408,408,211,211,1.93056715307405
having,them,6,334,1500,110,402,1.9273535397239223
t,you,22,2480,744,604,189,1.922943439042949
is,ours,6,22924,22,7668,5,1.9207327950969242
themselves,until,2,142,1214,43,423,1.8955985406193108
again,again,6,724,724,213,213,1.8821321640714084
few,just,10,770,1162,218,302,1.8582523421990564
do,nor,4,2038,176,464,61,1.8560413899765493
above,below,16,1166,1258,398,468,1.8339317415132261
under,your,4,3618,102,1318,28,1.8276001452927249
doing,we,24,362,6132,66,1599,1.8250892661471887
we,why,16,6132,242,1599,60,1.8223305821242106
i,you,20,2506,744,736,189,1.817203967400665
be,should,588,21772,2518,6357,853,1.8170827207213816
ours,will,4,22,17166,5,5952,1.8045212292472466
our,own,20,1460,1304,503,323,1.796304684152519
do,not,354,2038,16546,464,4389,1.7956290434695528
just,under,44,1162,3618,302,1318,1.7925709772984761
couldn,have,2,20,9602,3,3107,1.7876428026104965
into,ourselves,2,2606,74,1020,17,1.7834649215131684
above,just,14,1166,1162,398,302,1.7797808353188607
then,why,2,804,242,251,60,1.774564792192
where,you,6,786,744,263,189,1.7727171866696827
do,wouldn,2,2038,96,464,17,1.7690293916167328
its,own,220,16894,1304,7402,323,1.745677995253321
re,they,70,942,7446,238,2595,1.7450136863140566
their,wasn,2,3722,54,1370,10,1.7421013578047753
do,we,124,2038,6132,464,1599,1.7392371021260797
don,just,10,874,1162,191,302,1.731562525171311
down,from,550,2960,18872,885,8217,1.7314951169811656
it,yourself,4,29276,14,11104,3,1.7226690370547086
be,will,3580,21772,17166,6357,5952,1.7040081088520929
most,whom,2,1974,106,610,22,1.7018455920902666
both,having,6,1884,334,662,110,1.6994216056035758
m,nor,2,1194,176,435,61,1.6975536239429416
him,i,6,252,2506,72,736,1.6958428326180273
haven,their,4,114,3722,22,1370,1.6880348551355948
her,with,4,30,14332,10,6179,1.6748022908439675
haven,so,2,114,1898,22,551,1.668347530459386
because,wasn,2,4020,54,1076,10,1.6650807348084868
did,he,272,2468,12202,651,5215,1.6452395327470737
him,his,4,252,1772,72,673,1.6369565606891818
ourselves,we,4,74,6132,17,1599,1.6209084579060444
about,her,2,7566,30,2814,10,1.6204848422728924
at,theirs,2,16244,14,7017,4,1.6185658134871124
then,won,4,804,568,251,140,1.6145291078150783
all,whom,4,4328,106,1294,22,1.6099498843702147
have,we,512,9602,6132,3107,1599,1.6072777034967047
not,theirs,2,16546,14,4389,4,1.600145068963837
once,you,2,312,744,90,189,1.5980578386497588
isn,more,2,36,6462,8,1881,1.5958889795242261
again,here,6,724,970,213,364,1.589627644230971
don,so,14,874,1898,191,551,1.5773768293357788
how,you,6,958,744,268,189,1.574826302197196
have,you,60,9602,744,3107,189,1.5725328137903798
are,being,154,9402,1952,3215,554,1.5716211216552756
are,these,100,9402,1268,3215,457,1.5712523295416387
theirs,was,2,14,17112,4,5816,1.5665095249568746
theirs,will,2,14,17166,4,5952,1.563358817763567
ma,will,2,14,17166,6,5952,1.563358817763567
my,own,2,186,1304,56,323,1.5541637059948419
been,haven,8,8574,114,2070,22,1.546709193063821
