w1,w2,co_count,deg_w1,deg_w2,freq_w1,freq_w2,pmi
yourself,yourselves,2,158,8,45,2,5.846218129571391
o,y,56,222,204,74,59,5.599698493561691
am,ma,46,1076,134,246,34,4.244940759153378
himself,itself,2,68,98,20,31,4.183810163297625
which,whom,2,442,18,134,4,4.006604871986484
its,own,30,396,316,133,79,3.959185812229054
those,whom,2,488,18,161,4,3.907599914539257
ourselves,then,2,6,1688,2,436,3.7652286560231554
after,yourselves,2,1292,8,622,2,3.7448996693604437
each,other,44,246,1072,73,303,3.596721810170416
themselves,through,2,38,336,9,130,3.5335914565673234
having,themselves,2,352,38,85,9,3.4870716111013778
more,than,166,1374,964,392,309,3.3105602162971888
ourselves,out,2,6,2682,2,718,3.302212016498104
such,weren,4,290,116,66,21,3.2579671108704886
own,their,14,316,418,79,140,3.1429785673451334
been,ve,132,1144,1124,237,276,3.1110119147801503
further,very,2,18,1150,8,540,3.0504012315532454
during,under,2,84,248,46,109,3.0440446804302543
against,each,2,92,246,26,73,2.9611702949496816
has,whom,2,1324,18,431,4,2.9095060198847555
up,yourselves,2,3128,8,971,2,2.8606999664729247
below,their,2,64,418,21,140,2.793926217317124
than,yours,4,964,60,309,14,2.7160029626332176
aren,these,8,236,500,58,165,2.6961464905812793
here,nor,2,1366,22,354,10,2.677606435917933
himself,which,2,68,442,20,134,2.6774733423648605
his,nor,2,1374,22,470,10,2.6717670125273467
above,their,4,148,418,45,140,2.648745166931984
at,ours,4,2856,22,966,4,2.6332191083068093
as,itself,12,1930,98,713,31,2.629808884819766
but,mustn,2,5324,6,1447,1,2.6165513748713747
been,hadn,2,1144,28,237,6,2.6138003456103776
does,not,1142,2068,9248,769,2665,2.56918179147206
himself,these,2,68,500,20,165,2.5541753105022025
have,ourselves,2,6276,6,1410,2,2.4520436675155337
hadn,his,2,28,1374,6,470,2.430605294562923
as,such,28,1930,290,713,66,2.3921934578057322
at,theirs,2,2856,14,966,4,2.3920566714294416
hers,was,2,8,5058,2,1221,2.3801233697756334
y,y,2,204,204,59,59,2.3520513836971375
for,further,4,4638,18,1908,8,2.349028797606688
been,haven,18,1144,332,237,62,2.338095733437726
so,yourselves,2,5346,8,1381,2,2.324745963945435
been,has,70,1144,1324,237,431,2.312941535282186
his,own,20,1374,316,470,79,2.3096537181294257
been,hasn,4,1144,76,237,14,2.3084195838778543
be,should,434,5112,1922,1318,681,2.2677221742560505
own,your,40,316,2914,79,984,2.2510004374321975
further,out,2,18,2682,8,718,2.2036017081041166
by,itself,4,1002,98,419,31,2.186718398786079
doesn,t,1198,1786,16538,599,3547,2.1824042036255187
against,other,4,92,1072,26,303,2.1823692425341634
each,y,2,246,204,73,59,2.1648400377104604
against,will,8,92,2210,26,697,2.1520501924553774
doing,weren,2,444,116,91,21,2.1388768383599657
as,same,46,1930,616,713,150,2.1352643457081446
during,same,2,84,616,46,150,2.1342278338263667
wasn,weren,2,450,116,82,21,2.1254538304022446
from,nor,2,2384,22,1026,10,2.1207141270593324
herself,into,2,60,896,13,334,2.0960066556477996
all,y,28,3720,204,1006,59,2.087750743989084
both,under,2,220,248,61,109,2.081235351364661
any,weren,4,944,116,265,21,2.0777228521173257
ours,was,4,22,5058,4,1221,2.06167033573216
o,until,2,222,260,74,88,2.024932678957986
being,by,20,578,1002,162,419,2.0215502817390942
aren,under,2,236,248,58,109,2.0110311520878916
each,each,2,246,246,73,73,1.9776286582430735
both,our,2,220,276,61,94,1.974263320692009
had,ve,62,1676,1124,367,276,1.973465281806353
hers,on,2,8,7608,2,3281,1.971894588718963
himself,into,2,68,896,20,334,1.9708436172979418
our,which,4,276,442,94,134,1.9697285062590415
below,should,4,64,1922,21,681,1.9614345844003358
under,under,2,248,248,109,109,1.9614342504663407
as,as,118,1930,1930,713,713,1.9352792797925673
themselves,then,2,38,1688,9,436,1.9194059399008798
other,than,32,1072,964,303,309,1.9125084572405073
again,each,4,526,246,166,73,1.9108065278041209
above,which,2,148,442,45,134,1.8997696334315495
hasn,why,4,76,1724,14,400,1.8983034895541955
t,won,344,16538,692,3547,179,1.8827848860369236
herself,over,2,60,1110,13,337,1.8818319457352255
after,until,10,1292,260,622,88,1.8731018873080383
above,before,2,148,454,45,136,1.8729823367817362
aren,t,116,236,16538,58,3547,1.8714875635408215
itself,won,2,98,692,31,179,1.863738380844747
nor,not,6,22,9248,10,2665,1.8636994565607776
each,our,2,246,276,73,94,1.8625594143139779
by,himself,2,1002,68,419,20,1.859030831622379
me,theirs,2,4882,14,1331,4,1.85592424005114
our,under,2,276,248,94,109,1.8544622097589123
both,them,8,220,1250,61,331,1.8500602486466349
nor,there,2,22,3136,10,723,1.8465459923188148
above,than,4,148,964,45,309,1.8131357424739183
above,those,2,148,488,45,161,1.8007641785342037
below,were,2,64,1138,21,265,1.7923811656304505
between,our,2,264,276,91,94,1.791941895101164
don,t,2486,5526,16538,1241,3547,1.7829399539745872
below,down,2,64,1150,21,373,1.7818915658078185
against,him,4,92,1612,26,416,1.7744198234562234
shouldn,t,92,208,16538,46,3547,1.7659796736508204
of,whom,4,8360,18,3186,4,1.759853864257662
couldn,t,82,188,16538,41,3547,1.7520064595489429
if,weren,12,3926,116,1112,21,1.75108522721019
nor,they,2,22,3482,10,879,1.7418873223065119
isn,t,276,640,16538,138,3547,1.7406618734618533
those,yourself,2,488,158,161,45,1.7353814611592484
hadn,t,12,28,16538,6,3547,1.7344312424291537
don,theirs,2,5526,14,1241,4,1.7320150670241998
an,itself,4,1586,98,589,31,1.727501457479486
these,yourself,2,500,158,165,45,1.7110887834687851
they,were,100,3482,1138,879,265,1.707925671201468
didn,t,482,1158,16538,239,3547,1.7052236416976887
had,haven,14,1676,332,367,62,1.7049022394734248
most,once,2,246,326,73,89,1.6960630066424471
each,once,2,246,326,73,89,1.6960630066424471
a,few,112,17864,252,6199,63,1.6936722117021126
ain,t,280,682,16538,140,3547,1.6914891296910102
during,than,2,84,964,46,309,1.6863838362289918
after,few,8,1292,252,622,63,1.6812108804464116
here,yours,2,1366,60,354,14,1.674305334417041
re,they,320,3798,3482,830,879,1.665874211266667
after,being,18,1292,578,622,162,1.6619963831235423
ours,we,2,22,3784,4,943,1.658712562263132
myself,through,2,248,336,59,130,1.657752040216285
further,no,2,18,4642,8,1539,1.65501960317921
being,such,4,578,290,162,66,1.6519845690609858
themselves,will,2,38,2210,9,697,1.6499579965598543
by,during,2,1002,84,419,46,1.6477218715812563
at,once,22,2856,326,966,89,1.6421129372349483
his,under,8,1374,248,470,109,1.6356764398882355
above,being,2,148,578,45,162,1.6315058187678984
t,wouldn,162,16538,420,3547,81,1.6290708062452448
re,we,334,3798,3784,830,943,1.6255193988657917
few,more,8,252,1374,63,392,1.6196761007684262
t,wasn,166,16538,450,3547,82,1.5844693883087122
hasn,t,28,76,16538,14,3547,1.5832003274891464
haven,t,122,332,16538,62,3547,1.5806152567254654
has,himself,2,1324,68,431,20,1.5803715473857185
after,while,20,1292,704,622,241,1.5701524215371332
t,weren,42,16538,116,3547,21,1.5658085952884455
having,until,2,352,260,85,88,1.5639791910772696
whom,with,2,18,5138,4,1943,1.5535010675689453
my,own,30,4406,316,1558,79,1.5498778437734413
itself,should,4,98,1922,31,681,1.5353503239071002
do,nor,2,4306,22,1034,10,1.5294848841171076
we,were,90,3784,1138,943,265,1.5193903469056789
but,further,2,5324,18,1447,8,1.517940083780353
be,shouldn,22,5112,208,1318,46,1.5093035726874335
those,who,14,488,1400,161,404,1.4996595839150328
themselves,with,4,38,5138,9,1943,1.4994340636645869
all,over,84,3720,1110,1006,337,1.4923677784009208
mustn,t,2,6,16538,1,3547,1.483116526752006
own,own,2,316,316,79,79,1.4768076141179012
ll,yours,2,1670,60,370,14,1.4733685753022259
her,under,10,2028,248,560,109,1.4694961390453865
before,o,2,454,222,136,74,1.4675174658045953
above,ain,2,148,682,45,140,1.4660501148060443
aren,why,8,236,1724,58,400,1.4583524253802362
very,very,26,1150,1150,540,540,1.4582072976766813
for,ours,2,4638,22,1908,4,1.4552110803451186
