stopword,support,pos,neu,neg
a,15,1.0,0.0,0.0
in,15,1.0,0.0,0.0
what,15,1.0,0.0,0.0
just,15,1.0,0.0,0.0
where,15,1.0,0.0,0.0
its,15,1.0,0.0,0.0
it,15,1.0,0.0,0.0
up,15,1.0,0.0,0.0
if,15,1.0,0.0,0.0
about,15,1.0,0.0,0.0
i,15,1.0,0.0,0.0
how,15,1.0,0.0,0.0
his,15,1.0,0.0,0.0
here,15,1.0,0.0,0.0
her,15,1.0,0.0,0.0
have,15,1.0,0.0,0.0
me,15,1.0,0.0,0.0
my,15,1.0,0.0,0.0
who,15,1.0,0.0,0.0
the,15,1.0,0.0,0.0
too,15,1.0,0.0,0.0
to,15,1.0,0.0,0.0
was,15,1.0,0.0,0.0
they,15,1.0,0.0,0.0
there,15,1.0,0.0,0.0
we,15,1.0,0.0,0.0
that,15,1.0,0.0,0.0
no,15,1.0,0.0,0.0
so,15,1.0,0.0,0.0
she,15,1.0,0.0,0.0
out,15,1.0,0.0,0.0
on,15,1.0,0.0,0.0
of,15,1.0,0.0,0.0
not,15,1.0,0.0,0.0
had,15,1.0,0.0,0.0
is,15,1.0,0.0,0.0
from,15,1.0,0.0,0.0
am,15,1.0,0.0,0.0
you,15,1.0,0.0,0.0
are,15,1.0,0.0,0.0
can,15,1.0,0.0,0.0
be,15,1.0,0.0,0.0
and,15,1.0,0.0,0.0
do,15,1.0,0.0,0.0
does,15,1.0,0.0,0.0
with,15,1.0,0.0,0.0
did,15,1.0,0.0,0.0
for,15,1.0,0.0,0.0
your,15,1.0,0.0,0.0
will,15,1.0,0.0,0.0
why,15,1.0,0.0,0.0
all,15,1.0,0.0,0.0
now,14,1.0,0.0,0.0
at,14,1.0,0.0,0.0
been,14,1.0,0.0,0.0
or,14,1.0,0.0,0.0
over,14,1.0,0.0,0.0
this,14,1.0,0.0,0.0
s,14,1.0,0.0,0.0
down,14,1.0,0.0,0.0
him,14,1.0,0.0,0.0
but,14,1.0,0.0,0.0
he,14,1.0,0.0,0.0
then,14,1.0,0.0,0.0
when,14,1.0,0.0,0.0
were,13,1.0,0.0,0.0
any,13,1.0,0.0,0.0
as,13,1.0,0.0,0.0
some,13,1.0,0.0,0.0
an,13,1.0,0.0,0.0
off,13,1.0,0.0,0.0
more,13,1.0,0.0,0.0
by,13,1.0,0.0,0.0
m,13,1.0,0.0,0.0
o,12,1.0,0.0,0.0
has,12,1.0,0.0,0.0
only,12,1.0,0.0,0.0
should,11,1.0,0.0,0.0
very,11,1.0,0.0,0.0
before,10,1.0,0.0,0.0
own,10,1.0,0.0,0.0
them,10,1.0,0.0,0.0
doing,10,1.0,0.0,0.0
again,10,1.0,0.0,0.0
y,9,1.0,0.0,0.0
same,9,1.0,0.0,0.0
other,9,1.0,0.0,0.0
having,9,1.0,0.0,0.0
being,9,1.0,0.0,0.0
into,8,1.0,0.0,0.0
their,8,1.0,0.0,0.0
these,8,1.0,0.0,0.0
because,8,1.0,0.0,0.0
after,7,1.0,0.0,0.0
myself,7,1.0,0.0,0.0
those,7,1.0,0.0,0.0
once,7,1.0,0.0,0.0
such,7,1.0,0.0,0.0
few,6,1.0,0.0,0.0
t,6,1.0,0.0,0.0
while,6,1.0,0.0,0.0
than,6,1.0,0.0,0.0
our,6,1.0,0.0,0.0
d,5,1.0,0.0,0.0
until,5,1.0,0.0,0.0
which,4,1.0,0.0,0.0
yours,4,1.0,0.0,0.0
most,4,1.0,0.0,0.0
under,4,1.0,0.0,0.0
each,4,1.0,0.0,0.0
between,4,1.0,0.0,0.0
yourself,4,1.0,0.0,0.0
himself,3,1.0,0.0,0.0
through,3,1.0,0.0,0.0
both,3,1.0,0.0,0.0
against,3,1.0,0.0,0.0
ma,2,1.0,0.0,0.0
ll,2,1.0,0.0,0.0
itself,1,1.0,0.0,0.0
herself,1,1.0,0.0,0.0
re,1,1.0,0.0,0.0
during,1,1.0,0.0,0.0
don,1,1.0,0.0,0.0
won,1,1.0,0.0,0.0
themselves,1,1.0,0.0,0.0
above,1,1.0,0.0,0.0
further,1,1.0,0.0,0.0
